地区,年度,房地产开发投资额(亿元),房地产施工面积(万平方米),商品房销售额(亿元),商品房销售面积(万平方米)
拉萨,2023,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2024,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2006,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2007,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2008,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2009,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2010,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2011,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2012,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2013,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2014,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2015,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2016,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2017,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2018,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2019,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2020,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2021,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2022,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2023,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
